Genders_Served,Populations_Served,Billing_Address,Addr1,Addr2,Addr3,County,Postcode,x,y
All Genders Served,People with Health-based Concerns,"The Food Chain, Acorn House, 314-320 Gray's Inn Road, London, WC1X 8DP",The Food Chain,Acorn House,314-320 Gray's Inn Road,London,WC1X 8DP,-0.1189359,51.52834479999999
All Genders Served,Other,"11 Southwood Smith Street, London, Islington N1 0YL England",11 Southwood Smith Street,NA,NA,London,N1 0Y,-0.0117417,51.5255211
All Genders Served,Other,"West London Synaogue, 33 Seymour Pl, Westminster, London W1H 5AU",West London Synaogue,33 Seymour Pl,Westminster,London,W1H 5AU,-0.1617637,51.5155711
All Genders Served,Other,"St Bartholomew's Church Centre, Primrose Hill, Sheffield, S6 2UW",St Bartholomew's Church Centre,Primrose Hill,NA,Sheffield,S6 2UW,-1.4908775,53.39503639999999
All Genders Served,Other,"St Cuthbert's Church, Barnsley Road, Sheffield, S5 6WL",St Cuthbert's Church,Barnsley Road,NA,Sheffield,S5 6WL,-1.4498868,53.4087691
All Genders Served,Other,"11 Napier St, Sheffield, S11 811 Napier St, Sheffield, S11 8HA
HA",11 Napier St,NA,NA,Sheffield,S11 8HA,-1.4800786,53.37170020000001
All Genders Served,Other,"Lowedges Community Centre, Gresley Rd, Sheffield, S8 7HL",Lowedges Community Centre,Gresley Rd,NA,Sheffield,S8 7HL,-1.4896992,53.3199755
All Genders Served,Other,"Langworthy Cornerstone, 451 Liverpool Street, Salford, M6 5QQ",Langworthy Cornerstone,451 Liverpool Street,NA,Salford,M6 5QQ,-2.2968583,53.48377559999999
All Genders Served,Other,"The Angel Centre, 1 St Phillip's Place, Salford, M3 6FA",The Angel Centre,1 St Phillip's Place,NA,Salford,M3 6FA,-2.2632972,53.4835218
All Genders Served,Other,"Creative Living Centre, 1a Rectory Lane, Prestwich, Manchester M25 1BP",Creative Living Centre,1a Rectory Lane,Prestwich,Manchester,M25 1BP,-2.2822687,53.5332833
