topic,lesson,chin_simple,chin_traditional,pinyin,english
"Restaurant
","Lesson - 1
",等,NA,děng,class / rank / grade / equal to / same as / to wait for / to await / et cetera / and so on / et al. (and other authors) / after / as soon as / once
"Restaurant
","Lesson - 1
",一下,NA,yī xià,(used after a verb) give it a go / to do (sth for a bit to give it a try) / one time / once / in a while / all of a sudden / all at once
"Restaurant
","Lesson - 1
",进,進,jìn,to go forward / to advance / to go in / to enter / to put in / to submit / to take in / to admit / (math.) base of a number system / classifier for sections in a building or residential compound
"Restaurant
","Lesson - 2
",坐,NA,"Zuò 

zuò","surname Zuo

to sit / to take a seat / to take (a bus, airplane etc) / to bear fruit / variant of 座"
"Restaurant
","Lesson - 2
",菜单,菜單,cài dān,"menu / CL: 份, 張｜张"
"Restaurant
","Lesson - 2
",英文,NA,Yīng wén,English (language)
"Restaurant
","Lesson - 2
",菜,NA,cài,"dish (type of food) / vegetable / cuisine / CL: 盤｜盘, 道 / (coll.) (one's) type / (of one's skills etc) weak / poor"
"Restaurant
","Lesson - 2
",单,單,"Shàn 

dān","surname Shan

bill / list / form / single / only / sole / odd number / CL: 個｜个"
"Restaurant
","Lesson - 2
",英,NA,"Yīng 

yīng","United Kingdom / British / England / English / abbr. for 英國｜英国

hero / outstanding / excellent / (literary) flower / blossom"
"Restaurant
","Lesson - 2
",文,NA,"Wén 

wén","surname Wen

language / culture / writing / formal / literary / gentle / (old) classifier for coins / Kangxi radical 67"
"Restaurant
","Lesson - 3
",服务员,服務員,fú wù yuán,"waiter / waitress / attendant / customer service personnel / CL: 個｜个, 位"
"Restaurant
","Lesson - 3
",点菜,點菜,diǎn cài,to order dishes (in a restaurant)
"Restaurant
","Lesson - 3
",买单,買單,mǎi dān,to pay the restaurant bill
"Restaurant
","Lesson - 3
",订位,訂位,dìng wèi,to reserve a seat / to book a table / reservation
"Restaurant
","Lesson - 3
",服,NA,"fú 

fù","clothes / dress / garment / to serve (in the military, a prison sentence etc) / to obey / to be convinced (by an argument) / to convince / to admire / to acclimatize / to take (medicine) / mourning clothes / to wear mourning clothes

dose (measure word for medicine) / Taiwan pr. [fu2]"
"Restaurant
","Lesson - 3
",务,務,wù,affair / business / matter / to be engaged in / to attend to / by all means
"Restaurant
","Lesson - 3
",员,員,yuán,person / employee / member
"Restaurant
","Lesson - 3
",订,訂,dìng,to agree / to conclude / to draw up / to subscribe to (a newspaper etc) / to order
"Supermarket
","Lesson - 1
",些,NA,xiē,some / few / several / measure word indicating a small amount or small number (greater than 1)
"Supermarket
","Lesson - 1
",西,NA,"Xī 

xī","the West / abbr. for Spain 西班牙 / Spanish

west"
"Supermarket
","Lesson - 1
",东,東,"Dōng 

dōng","surname Dong

east / host (i.e. sitting on east side of guest) / landlord"
"Supermarket
","Lesson - 1
",东西,東西,"dōng xī 

dōng xi","east and west

thing / stuff / person / CL: 個｜个, 件"
"Supermarket
","Lesson - 1
",帮,幫,bāng,"to help / to assist / to support / for sb (i.e. as a help) / hired (as worker) / side (of pail, boat etc) / outer layer / upper (of a shoe) / group / gang / clique / party / secret society"
"Supermarket
","Lesson - 2
",超市,NA,chāo shì,supermarket / abbr. for 超級市場｜超级市场 / CL: 家
"Supermarket
","Lesson - 2
",水果,NA,shuǐ guǒ,fruit / CL: 個｜个
"Supermarket
","Lesson - 2
",超,NA,chāo,to exceed / to overtake / to surpass / to transcend / to pass / to cross / ultra- / super-
"Supermarket
","Lesson - 2
",市,NA,shì,market / city / CL: 個｜个
"Supermarket
","Lesson - 2
",果,NA,guǒ,fruit / result / resolute / indeed / if really
"Supermarket
","Lesson - 3
",给,給,"gěi 

jǐ","to / for / for the benefit of / to give / to allow / to do sth (for sb) / (grammatical equivalent of 被) / (grammatical equivalent of 把) / (sentence intensifier)

to supply / to provide"
"Supermarket
","Lesson - 3
",苹果,蘋果,píng guǒ,"apple / CL: 個｜个, 顆｜颗"
"Supermarket
","Lesson - 3
",西瓜,NA,xī guā,"watermelon / CL: 顆｜颗, 粒, 個｜个"
"Supermarket
","Lesson - 3
",苹,NA,"píng 

pín 

píng","(artemisia) / duckweed

marsiliaceae / clover fern

apple"
"Supermarket
","Lesson - 3
",瓜,NA,guā,melon / gourd / squash
"Supermarket
","Lesson - 4
",鸡蛋,雞蛋,jī dàn,"(chicken) egg / hen's egg / CL: 個｜个, 打"
"Supermarket
","Lesson - 4
",新鲜,新鮮,xīn xiān,"fresh (experience, food etc) / freshness / novel / uncommon"
"Supermarket
","Lesson - 4
",鸡,雞,jī,fowl / chicken / CL: 隻｜只 / (slang) prostitute
"Supermarket
","Lesson - 4
",蛋,NA,dàn,"egg / CL: 個｜个, 打 / oval-shaped thing"
"Supermarket
","Lesson - 4
",鲜,鮮,"xiān 

xiǎn 

xiān","fresh / bright (in color) / delicious / tasty / delicacy / aquatic foods

few / rare

fish / old variant of 鮮｜鲜"
"Supermarket
","Lesson - 4
",蔬菜,NA,shū cài,vegetables / produce / CL: 種｜种
"Supermarket
","Lesson - 4
",蔬,NA,shū,vegetables
"Supermarket
","Lesson - 5
",包,NA,"Bāo 

bāo","surname Bao

to cover / to wrap / to hold / to include / to take charge of / to contract (to or for) / package / wrapper / container / bag / to hold or embrace / bundle / packet / CL: 個｜个, 隻｜只"
"Supermarket
","Lesson - 5
",米,NA,"Mǐ 

mǐ","surname Mi

rice / CL: 粒 / meter (classifier)"
"Supermarket
","Lesson - 5
",面包,麵包,miàn bāo,"bread / CL: 片, 袋, 塊｜块"
"Supermarket
","Lesson - 5
",袋,NA,dài,pouch / bag / sack / pocket
"Supermarket
","Lesson - 5
",糖,NA,táng,"sugar / sweets / candy / CL: 顆｜颗, 塊｜块"
"Hobbies 2
","Lesson - 1
",为,為,"wéi 

wèi","as (in the capacity of) / to take sth as / to act as / to serve as / to behave as / to become / to be / to do / by (in the passive voice)

because of / for / to"
"Hobbies 2
","Lesson - 1
",文,NA,"Wén 

wén","surname Wen

language / culture / writing / formal / literary / gentle / (old) classifier for coins / Kangxi radical 67"
"Hobbies 2
","Lesson - 1
",习,習,"Xí 

xí","surname Xi

to practice / to study / habit"
"Hobbies 2
","Lesson - 1
",学习,學習,xué xí,to learn / to study
"Hobbies 2
","Lesson - 1
",中文,NA,Zhōng wén,Chinese language
"Hobbies 2
","Lesson - 1
",为什么,為什麼,wèi shén me,why? / for what reason?
"Hobbies 2
","Lesson - 1
",去,NA,qù,to go / to go to (a place) / (of a time etc) last / just passed / to send / to remove / to get rid of / to reduce / to be apart from in space or time / to die (euphemism) / to play (a part) / (when used either before or after a verb) to go in order to do sth / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation)
"Hobbies 2
","Lesson - 2
",因为,因為,yīn wèi,because / owing to / on account of
"Hobbies 2
","Lesson - 2
",所以,NA,suǒ yǐ,therefore / as a result / so / the reason why
"Hobbies 2
","Lesson - 2
",西班牙,NA,Xī bān yá,Spain
"Hobbies 2
","Lesson - 2
",因,NA,yīn,cause / reason / because
"Hobbies 2
","Lesson - 2
",所,NA,suǒ,"actually / place / classifier for houses, small buildings, institutions etc / that which / particle introducing a relative clause or passive / CL: 個｜个"
"Hobbies 2
","Lesson - 2
",以,NA,"Yǐ 

yǐ","abbr. for Israel 以色列

to use / by means of / according to / in order to / because of / at (a certain date or place)"
"Hobbies 2
","Lesson - 2
",西,NA,"Xī 

xī","the West / abbr. for Spain 西班牙 / Spanish

west"
"Hobbies 2
","Lesson - 2
",班,NA,"Bān 

bān","surname Ban

team / class / squad / work shift / ranking / CL: 個｜个 / classifier for groups"
"Hobbies 2
","Lesson - 2
",牙,NA,yá,tooth / ivory / CL: 顆｜颗
"Hobbies 2
","Lesson - 3
",旅游,旅遊,lǚ yóu,trip / journey / tourism / travel / tour / to travel
"Hobbies 2
","Lesson - 3
",爱好,愛好,ài hào,to like / to take pleasure in / keen on / fond of / interest / hobby / appetite for / CL: 個｜个
"Hobbies 2
","Lesson - 3
",新,NA,"Xīn 

xīn","abbr. for Xinjiang 新疆 or Singapore 新加坡 / surname Xin

new / newly / meso- (chemistry)"
"Hobbies 2
","Lesson - 3
",西班牙语,西班牙語,Xī bān yá yǔ,Spanish language
"Hobbies 2
","Lesson - 3
",轻松,輕鬆,qīng sōng,light / gentle / relaxed / effortless / uncomplicated / to relax / to take things less seriously
"Hobbies 2
","Lesson - 3
",旅,NA,lǚ,trip / travel / to travel / brigade (army)
"Hobbies 2
","Lesson - 3
",好,NA,"hǎo 

hào","good / well / proper / good to / easy to / very / so / (suffix indicating completion or readiness) / (of two people) close / on intimate terms

to be fond of / to have a tendency to / to be prone to"
"Hobbies 2
","Lesson - 3
",轻,輕,qīng,light / easy / gentle / soft / reckless / unimportant / frivolous / small in number / unstressed / neutral / to disparage
"Hobbies 2
","Lesson - 3
",松,NA,"Sōng 

sōng 

sōng","surname Song

pine / CL: 棵

loose / to loosen / to relax"
"Hobbies 2
","Lesson - 4
",照相机,照相機,zhào xiàng jī,"camera / CL: 個｜个, 架, 部, 台, 隻｜只"
"Hobbies 2
","Lesson - 4
",印度,NA,Yìn dù,India
"Hobbies 2
","Lesson - 4
",拍照,NA,pāi zhào,to take a picture
"Hobbies 2
","Lesson - 4
",拍,NA,pāi,to pat / to clap / to slap / to swat / to take (a photo) / to shoot (a film) / racket (sports) / beat (music)
"Hobbies 2
","Lesson - 4
",照,NA,zhào,according to / in accordance with / to shine / to illuminate / to reflect / to look at (one's reflection) / to take (a photo) / photo / as requested / as before
"Hobbies 2
","Lesson - 4
",印,NA,"Yìn 

yìn","surname Yin / abbr. for 印度

to print / to mark / to engrave / a seal / a print / a stamp / a mark / a trace / image"
"Hobbies 2
","Lesson - 4
",相,NA,"Xiāng 

xiāng 

xiàng","surname Xiang

each other / one another / mutually

appearance / portrait / picture / government minister / (physics) phase / (literary) to appraise (esp. by scrutinizing physical features) / to read sb's fortune (by physiognomy, palmistry etc)"
"Hobbies 2
","Lesson - 4
",度,NA,"dù 

duó","to pass / to spend (time) / measure / limit / extent / degree of intensity / degree (angles, temperature etc) / kilowatt-hour / classifier for events and occurrences

to estimate / Taiwan pr. [duo4]"
"Dining 1
","Lesson - 1
",海,NA,"Hǎi 

hǎi","surname Hai

ocean / sea / CL: 個｜个, 片 / great number of people or things / (dialect) numerous"
"Dining 1
","Lesson - 1
",本,NA,běn,"root / stem / origin / source / this / the current / original / inherent / originally / classifier for books, periodicals, files etc"
"Dining 1
","Lesson - 1
",还,還,"Huán 

hái 

huán","surname Huan

still / still in progress / still more / yet / even more / in addition / fairly / passably (good) / as early as / even / also / else

to pay back / to return"
"Dining 1
","Lesson - 1
",上海,NA,Shàng hǎi,"Shanghai municipality, central east China, abbr. to 滬｜沪"
"Dining 1
","Lesson - 1
",菜,NA,cài,"dish (type of food) / vegetable / cuisine / CL: 盤｜盘, 道 / (coll.) (one's) type / (of one's skills etc) weak / poor"
"Dining 1
","Lesson - 1
",还是,還是,hái shi,or / still / nevertheless / had better
"Dining 1
","Lesson - 1
",日本,NA,Rì běn,Japan / Japanese
"Dining 1
","Lesson - 2
",肉,NA,ròu,meat / flesh / pulp (of a fruit) / (coll.) (of a fruit) squashy / (of a person) flabby / irresolute
"Dining 1
","Lesson - 2
",米饭,米飯,mǐ fàn,(cooked) rice
"Dining 1
","Lesson - 2
",面条,麵條,miàn tiáo,noodles
"Dining 1
","Lesson - 2
",鸡肉,雞肉,jī ròu,chicken meat
"Dining 1
","Lesson - 3
",牛肉,NA,niú ròu,beef
"Dining 1
","Lesson - 3
",猪肉,豬肉,zhū ròu,pork
"Dining 1
","Lesson - 3
",羊肉,NA,yáng ròu,mutton / goat meat
"Dining 1
","Lesson - 3
",饮料,飲料,yǐn liào,drink / beverage
"Dining 1
","Lesson - 3
",猪,豬,zhū,"hog / pig / swine / CL: 口, 頭｜头"
"Dining 1
","Lesson - 3
",羊,NA,"Yáng 

yáng","surname Yang

sheep / goat / CL: 頭｜头, 隻｜只"
"Dining 1
","Lesson - 3
",饮,飲,"yǐn 

yìn","to drink

to give (animals) water to drink"
"Dining 1
","Lesson - 3
",料,NA,liào,material / stuff / grain / feed / to expect / to anticipate / to guess
"Health 1
","Lesson - 1
",作,NA,"zuō 

zuò","worker / workshop / (slang) troublesome / high-maintenance (person)

to do / to grow / to write or compose / to pretend / to regard as / to feel / writings or works"
"Health 1
","Lesson - 1
",得,NA,"dé 

de 

děi","to obtain / to get / to gain / to catch (a disease) / proper / suitable / proud / contented / to allow / to permit / ready / finished

structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc

to have to / must / ought to / to need to"
"Health 1
","Lesson - 1
",觉,覺,"jiào 

jué","a nap / a sleep / CL: 場｜场

to feel / to find that / thinking / awake / aware"
"Health 1
","Lesson - 1
",工,NA,gōng,work / worker / skill / profession / trade / craft / labor
"Health 1
","Lesson - 1
",累,NA,"lěi 

lèi 

Léi 

léi","to accumulate / to involve or implicate (Taiwan pr. [lei4]) / continuous / repeated

tired / weary / to strain / to wear out / to work hard

surname Lei

rope / to bind together / to twist around"
"Health 1
","Lesson - 1
",工作,NA,gōng zuò,"to work / (of a machine) to operate / job / work / task / CL: 個｜个, 份, 項｜项"
"Health 1
","Lesson - 1
",觉得,覺得,jué de,to think / to feel
"Health 1
","Lesson - 1
",有点儿,有點兒,yǒu diǎnr,slightly / a little / somewhat
"Health 1
","Lesson - 2
",胖,NA,"pán 

pàng","healthy / at ease

fat / plump"
"Health 1
","Lesson - 2
",健康,NA,jiàn kāng,health / healthy
"Health 1
","Lesson - 2
",不要,NA,bù yào,don't! / must not
"Health 1
","Lesson - 2
",健,NA,jiàn,healthy / to invigorate / to strengthen / to be good at / to be strong in
"Health 1
","Lesson - 2
",康,NA,"Kāng 

kāng","surname Kang

healthy / peaceful / abundant"
"Health 1
","Lesson - 3
",身体,身體,shēn tǐ,"the body / one's health / CL: 具, 個｜个 / in person"
"Health 1
","Lesson - 3
",注意,NA,zhù yì,to take note of / to pay attention to
"Health 1
","Lesson - 3
",身,NA,shēn,"body / life / oneself / personally / one's morality and conduct / the main part of a structure or body / pregnant / classifier for sets of clothes: suit, twinset / Kangxi radical 158"
"Health 1
","Lesson - 3
",注,NA,"zhù 

zhù","to inject / to pour into / to concentrate / to pay attention / stake (gambling) / classifier for sums of money / variant of 註｜注

to register / to annotate / note / comment"
"Health 1
","Lesson - 3
",意,NA,"Yì 

yì","Italy / Italian / abbr. for 意大利

idea / meaning / thought / to think / wish / desire / intention / to expect / to anticipate"
"Health 1
","Lesson - 4
",开始,開始,kāi shǐ,to begin / beginning / to start / initial / CL: 個｜个
"Health 1
","Lesson - 4
",锻炼,鍛鍊,duàn liàn,to toughen / to temper / to engage in physical exercise / to work out / (fig.) to develop one's skills / to train oneself
"Health 1
","Lesson - 4
",开,開,kāi,"to open / to start / to turn on / to boil / to write out (a prescription, check, invoice etc) / to operate (a vehicle) / carat (gold) / abbr. for Kelvin, 開爾文｜开尔文 / abbr. for 開本｜开本, book format"
"Health 1
","Lesson - 4
",锻,鍛,duàn,to forge / to discipline / wrought
"Health 1
","Lesson - 4
",始,NA,shǐ,to begin / to start / then / only then
"Health 1
","Lesson - 4
",炼,煉,liàn,to refine / to smelt
"Transportation
","Lesson - 1
",铁,鐵,"Tiě 

tiě","surname Tie

iron (metal) / arms / weapons / hard / strong / violent / unshakeable / determined / close / tight (slang)"
"Transportation
","Lesson - 1
",店,NA,diàn,inn / shop / store / CL: 家
"Transportation
","Lesson - 1
",地,NA,"de 

dì","-ly / structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct

earth / ground / field / place / land / CL: 片"
"Transportation
","Lesson - 1
",酒,NA,jiǔ,"wine (esp. rice wine) / liquor / spirits / alcoholic beverage / CL: 杯, 瓶, 罐, 桶, 缸"
"Transportation
","Lesson - 1
",酒店,NA,jiǔ diàn,wine shop / pub (public house) / hotel / restaurant / (Tw) hostess club
"Transportation
","Lesson - 1
",地铁,地鐵,dì tiě,subway / metro
"Transportation
","Lesson - 1
",坐,NA,"Zuò 

zuò","surname Zuo

to sit / to take a seat / to take (a bus, airplane etc) / to bear fruit / variant of 座"
"Transportation
","Lesson - 1
",不准,NA,bù zhǔn,not to allow / to forbid / to prohibit
"Transportation
","Lesson - 1
",准,NA,"zhǔn 

zhǔn","to allow / to grant / in accordance with / in the light of

accurate / standard / definitely / certainly / about to become (bride, son-in-law etc) / quasi- / para-"
"Transportation
","Lesson - 2
",出租车,出租車,chū zū chē,taxi / (Taiwan) rental car
"Transportation
","Lesson - 2
",站,NA,zhàn,station / to stand / to halt / to stop / branch of a company or organization / website
"Transportation
","Lesson - 2
",下,NA,xià,"down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc) / measure word to show the frequency of an action"
"Transportation
","Lesson - 2
",车,車,"Chē 

chē 

jū","surname Che

car / vehicle / CL: 輛｜辆 / machine / to shape with a lathe

war chariot (archaic) / rook (in Chinese chess) / rook (in chess)"
"Transportation
","Lesson - 2
",出,NA,chū,"to go out / to come out / to occur / to produce / to go beyond / to rise / to put forth / to happen / (used after a verb to indicate an outward direction or a positive result) / classifier for dramas, plays, operas etc"
"Transportation
","Lesson - 2
",租,NA,zū,to hire / to rent / to charter / to rent out / to lease out / rent / land tax
"Transportation
","Lesson - 3
",可以,NA,kě yǐ,can / may / possible / able to / not bad / pretty good
"Transportation
","Lesson - 3
",汽车,汽車,qì chē,car / automobile / bus / CL: 輛｜辆
"Transportation
","Lesson - 3
",公共,NA,gōng gòng,public / common / communal
"Transportation
","Lesson - 3
",船,NA,chuán,"boat / vessel / ship / CL: 條｜条, 艘, 隻｜只"
"Transportation
","Lesson - 3
",公,NA,gōng,"public / collectively owned / common / international (e.g. high seas, metric system, calendar) / make public / fair / just / Duke, highest of five orders of nobility 五等爵位 / honorable (gentlemen) / father-in-law / male (animal)"
"Transportation
","Lesson - 3
",汽,NA,qì,steam / vapor
"Shopping 1
","Lesson - 1
",件,NA,jiàn,"item / component / classifier for events, things, clothes etc"
"Shopping 1
","Lesson - 1
",衣,NA,"yī 

yì","clothes / CL: 件

to dress / to wear / to put on (clothes)"
"Shopping 1
","Lesson - 1
",商,NA,"Shāng 

shāng","Shang Dynasty (c. 1600-1046 BC) / surname Shang

commerce / merchant / dealer / to consult / 2nd note in pentatonic scale / quotient (as in 智商, intelligence quotient)"
"Shopping 1
","Lesson - 1
",商店,NA,shāng diàn,"store / shop / CL: 家, 個｜个"
"Shopping 1
","Lesson - 1
",衣服,NA,yī fu,"clothes / CL: 件, 套"
"Shopping 1
","Lesson - 2
",开,開,kāi,"to open / to start / to turn on / to boil / to write out (a prescription, check, invoice etc) / to operate (a vehicle) / carat (gold) / abbr. for Kelvin, 開爾文｜开尔文 / abbr. for 開本｜开本, book format"
"Shopping 1
","Lesson - 2
",关,關,"Guān 

guān","surname Guan

mountain pass / to close / to shut / to turn off / to concern / to involve"
"Shopping 1
","Lesson - 2
",门,門,"Mén 

mén","surname Men

gate / door / CL: 扇 / gateway / doorway / CL: 個｜个 / opening / valve / switch / way to do something / knack / family / house / (religious) sect / school (of thought) / class / category / phylum or division (taxonomy) / classifier for large guns / classifier for lessons, subjects, branches of technology / (suffix) -gate (i.e. scandal; derived from Watergate)"
"Shopping 1
","Lesson - 2
",欢迎,歡迎,huān yíng,to welcome / welcome
"Shopping 1
","Lesson - 2
",迎,NA,yíng,to welcome / to meet / to face / to forge ahead (esp. in the face of difficulties)
"Shopping 1
","Lesson - 3
",您,NA,nín,"you (courteous, as opposed to informal 你)"
"Shopping 1
","Lesson - 3
",帮忙,幫忙,bāng máng,to help / to lend a hand / to do a favor / to do a good turn
"Shopping 1
","Lesson - 3
",需要,NA,xū yào,to need / to want / to demand / to require / requirement / need
"Shopping 1
","Lesson - 3
",需,NA,xū,to require / to need / to want / necessity / need
"Shopping 1
","Lesson - 3
",随便,隨便,suí biàn,as one wishes / as one pleases / at random / negligent / casual / wanton
"Shopping 1
","Lesson - 3
",随,隨,"Suí 

suí","surname Sui

to follow / to comply with / varying according to... / to allow / subsequently"
"Shopping 1
","Lesson - 3
",便,NA,"biàn 

pián","plain / informal / suitable / convenient / opportune / to urinate or defecate / equivalent to 就: then / in that case / even if / soon afterwards

see 便宜"
"Languages
","Lesson - 1
",字,NA,zì,letter / symbol / character / word / CL: 個｜个 / courtesy or style name traditionally given to males aged 20 in dynastic China
"Languages
","Lesson - 1
",读,讀,"dòu 

dú","comma / phrase marked by pause

to read / to study / reading of word (i.e. pronunciation), similar to 拼音"
"Languages
","Lesson - 1
",一点儿,NA,yī diǎnr,erhua variant of 一點｜一点
"Languages
","Lesson - 2
",意思,NA,yì si,"idea / opinion / meaning / wish / desire / interest / fun / token of appreciation, affection etc / CL: 個｜个 / to give as a small token / to do sth as a gesture of goodwill etc"
"Languages
","Lesson - 2
",写,寫,xiě,to write
"Languages
","Lesson - 2
",错,錯,"Cuò 

cuò","surname Cuo

mistake / wrong / bad / interlocking / complex / to grind / to polish / to alternate / to stagger / to miss / to let slip / to evade / to inlay with gold or silver"
"Languages
","Lesson - 2
",难,難,"nán 

nàn","difficult (to...) / problem / difficulty / difficult / not good

disaster / distress / to scold"
"Languages
","Lesson - 2
",思,NA,sī,to think / to consider
"Time 3
","Lesson - 1
",秒,NA,miǎo,second (unit of time) / arc second (angular measurement unit) / (coll.) instantly
"Time 3
","Lesson - 1
",刻,NA,kè,quarter (hour) / moment / to carve / to engrave / to cut / oppressive / classifier for short time intervals
"Time 3
","Lesson - 1
",差,NA,"chā 

chà 

chāi","difference / discrepancy / to differ / error / to err / to make a mistake

to differ from / to fall short of / lacking / wrong / inferior

to send / to commission / messenger / mission"
"Time 3
","Lesson - 2
",小时,小時,xiǎo shí,hour / CL: 個｜个
"Time 3
","Lesson - 2
",分钟,分鐘,fēn zhōng,minute
"Time 3
","Lesson - 2
",小,NA,xiǎo,small / tiny / few / young
"Time 3
","Lesson - 2
",时,時,"Shí 

shí","surname Shi

o'clock / time / when / hour / season / period"
"Time 3
","Lesson - 2
",钟,鍾,"Zhōng 

zhōng 

zhōng","surname Zhong

handleless cup / goblet / to concentrate / variant of 鐘｜钟

clock / o'clock / time as measured in hours and minutes / bell / CL: 架, 座"
"Time 3
","Lesson - 3
",钟,鍾,"Zhōng 

zhōng 

zhōng","surname Zhong

handleless cup / goblet / to concentrate / variant of 鐘｜钟

clock / o'clock / time as measured in hours and minutes / bell / CL: 架, 座"
"Time 3
","Lesson - 3
",整,NA,zhěng,exactly / in good order / whole / complete / entire / in order / orderly / to repair / to mend / to renovate / (coll.) to fix sb / to give sb a hard time / to mess with sb
"Time 3
","Lesson - 3
",早,NA,zǎo,early / morning / Good morning! / long ago / prematurely
"Time 3
","Lesson - 3
",晚,NA,wǎn,evening / night / late
"Dining 2
","Lesson - 1
",杯,NA,bēi,"cup / trophy cup / classifier for certain containers of liquids: glass, cup"
"Dining 2
","Lesson - 1
",啤,NA,pí,beer
"Dining 2
","Lesson - 1
",德,NA,"Dé 

dé","Germany / German / abbr. for 德國｜德国

virtue / goodness / morality / ethics / kindness / favor / character / kind"
"Dining 2
","Lesson - 1
",德国,德國,Dé guó,Germany / German
"Dining 2
","Lesson - 1
",啤酒,NA,pí jiǔ,"beer (loanword) / CL: 杯, 瓶, 罐, 桶, 缸"
"Dining 2
","Lesson - 1
",果汁,NA,guǒ zhī,fruit juice
"Dining 2
","Lesson - 1
",汁,NA,zhī,juice
"Dining 2
","Lesson - 2
",香蕉,NA,xiāng jiāo,"banana / CL: 枝, 根, 個｜个, 把"
"Dining 2
","Lesson - 2
",蛋糕,NA,dàn gāo,"cake / CL: 塊｜块, 個｜个"
"Dining 2
","Lesson - 2
",块,塊,kuài,"lump (of earth) / chunk / piece / classifier for pieces of cloth, cake, soap etc / (coll.) classifier for money and currency units"
"Dining 2
","Lesson - 2
",香,NA,xiāng,fragrant / sweet smelling / aromatic / savory or appetizing / (to eat) with relish / (of sleep) sound / perfume or spice / joss or incense stick / CL: 根
"Dining 2
","Lesson - 2
",蕉,NA,"jiāo 

qiáo","banana

see 蕉萃"
"Dining 2
","Lesson - 2
",糕,NA,gāo,cake
"Dining 2
","Lesson - 3
",碗,NA,wǎn,"bowl / cup / CL: 隻｜只, 個｜个"
"Dining 2
","Lesson - 3
",杯子,NA,bēi zi,"cup / glass / CL: 個｜个, 隻｜只"
"Dining 2
","Lesson - 3
",盘子,盤子,pán zi,tray / plate / dish / CL: 個｜个
"Dining 2
","Lesson - 3
",盘,盤,pán,"plate / dish / tray / board / hard drive (computing) / to build / to coil / to check / to examine / to transfer (property) / to make over / classifier for food: dish, helping / to coil / classifier for coils of wire / classifier for games of chess"
"Dining 2
","Lesson - 4
",筷子,NA,kuài zi,"chopsticks / CL: 對｜对, 根, 把, 雙｜双"
"Dining 2
","Lesson - 4
",刀,NA,"Dāo 

dāo","surname Dao

knife / blade / single-edged sword / cutlass / CL: 把 / (slang) dollar (loanword) / classifier for sets of one hundred sheets (of paper) / classifier for knife cuts or stabs"
"Dining 2
","Lesson - 4
",叉,NA,"chā 

chá 

chǎ","fork / pitchfork / prong / pick / cross / intersect / ""X""

to cross / be stuck

to diverge / to open (as legs)"
"Dining 2
","Lesson - 4
",筷,NA,kuài,chopstick
"Dining 2
","Lesson - 4
",勺子,NA,sháo zi,scoop / ladle / CL: 把
"Dining 2
","Lesson - 4
",勺,NA,sháo,"spoon / ladle / CL: 把 / abbr. for 公勺, centiliter (unit of volume)"
"Existence
","Lesson - 1
",室,NA,"Shì 

shì","surname Shi

room / work unit / grave / scabbard / family or clan / one of the 28 constellations of Chinese astronomy"
"Existence
","Lesson - 1
",办,辦,bàn,to do / to manage / to handle / to go about / to run / to set up / to deal with
"Existence
","Lesson - 1
",辆,輛,liàng,classifier for vehicles
"Existence
","Lesson - 1
",办公室,辦公室,bàn gōng shì,office / business premises / bureau / CL: 間｜间
"Existence
","Lesson - 1
",本,NA,běn,"root / stem / origin / source / this / the current / original / inherent / originally / classifier for books, periodicals, files etc"
"Existence
","Lesson - 2
",瓶子,NA,píng zi,bottle / CL: 個｜个
"Existence
","Lesson - 2
",张,張,"Zhāng 

zhāng","surname Zhang

to open up / to spread / sheet of paper / classifier for flat objects, sheet / classifier for votes"
"Existence
","Lesson - 2
",照片,NA,zhào piàn,"photograph / picture / CL: 張｜张, 套, 幅"
"Existence
","Lesson - 2
",瓶,NA,píng,bottle / vase / pitcher / CL: 個｜个 / classifier for wine and liquids
"Existence
","Lesson - 2
",片,NA,"piān 

piàn","disk / sheet

thin piece / flake / a slice / film / TV play / to slice / to carve thin / partial / incomplete / one-sided / classifier for slices, tablets, tract of land, area of water / classifier for CDs, movies, DVDs etc / used with numeral 一: classifier for scenario, scene, feeling, atmosphere, sound etc"
"Existence
","Lesson - 3
",只,NA,"zhǐ 

zhǐ 

zhī","only / merely / just / but

grain that has begun to ripen / variant of 衹｜只

classifier for birds and certain animals, one of a pair, some utensils, vessels etc"
"Existence
","Lesson - 3
",鸟,鳥,niǎo,"bird / CL: 隻｜只, 群 / (dialect) to pay attention to / (intensifier) damned / goddam"
"Existence
","Lesson - 3
",树,樹,shù,tree / CL: 棵 / to cultivate / to set up
"Sports 1
","Lesson - 1
",步,NA,"Bù 

bù","surname Bu

a step / a pace / walk / march / stages in a process / situation"
"Sports 1
","Lesson - 1
",跑,NA,"páo 

pǎo","(of an animal) to paw (the ground)

to run / to run away / to escape / to run around (on errands etc) / (of a gas or liquid) to leak or evaporate / (verb complement) away / off"
"Sports 1
","Lesson - 1
",泳,NA,yǒng,swimming / to swim
"Sports 1
","Lesson - 1
",游,NA,"Yóu 

yóu 

yóu","surname You

to swim / variant of 遊｜游

to walk / to tour / to roam / to travel"
