Id,region,date,mortality_rate,O3,PM10,PM25,NO2,T2M
37,E12000001,2007-02-07,1.210,37.980,4.874,,,272.776
38,E12000001,2007-02-08,1.756,33.293,7.399,,,273.698
39,E12000001,2007-02-09,1.991,35.499,13.971,,,273.945
40,E12000001,2007-02-10,2.342,27.243,7.243,,,275.422
41,E12000001,2007-02-11,1.991,36.894,7.311,,,277.493
42,E12000001,2007-02-12,2.342,38.699,5.839,,,277.715
43,E12000001,2007-02-13,1.834,44.007,7.177,,,278.106
44,E12000001,2007-02-14,1.795,44.311,8.286,,,277.976
45,E12000001,2007-02-15,1.795,45.565,13.240,,,280.167
46,E12000001,2007-02-16,2.303,30.266,9.137,,,279.535
47,E12000001,2007-02-17,1.834,32.182,8.656,,,277.949
48,E12000001,2007-02-18,2.537,42.506,11.195,,,275.991
49,E12000001,2007-02-19,1.795,17.991,21.118,,,278.860
50,E12000001,2007-02-20,1.756,36.770,10.620,,,280.551
51,E12000001,2007-02-21,1.795,38.748,14.087,,,278.830
52,E12000001,2007-02-22,2.225,35.486,7.458,,,280.151
53,E12000001,2007-02-23,1.795,37.194,15.710,,,280.312
54,E12000001,2007-02-24,1.561,36.966,13.818,,,280.282
55,E12000001,2007-02-25,1.717,40.043,10.187,,,278.854
56,E12000001,2007-02-26,2.186,52.316,5.295,,,277.452
57,E12000001,2007-02-27,2.381,46.232,5.683,,,278.807
58,E12000001,2007-02-28,1.991,62.571,6.013,,,279.545
59,E12000001,2007-03-01,2.225,62.660,3.530,,,278.097
60,E12000001,2007-03-02,1.913,43.893,9.010,,,277.712
61,E12000001,2007-03-03,1.795,50.116,7.678,,,278.417
62,E12000001,2007-03-04,1.678,45.409,7.769,,,278.278
63,E12000001,2007-03-05,2.108,73.374,7.114,,,279.612
64,E12000001,2007-03-06,2.225,72.807,4.978,,,280.425
65,E12000001,2007-03-07,1.522,61.934,6.565,,,279.295
66,E12000001,2007-03-08,2.069,62.773,6.575,,,279.372
67,E12000001,2007-03-09,2.108,68.593,10.293,,,278.603
68,E12000001,2007-03-10,1.795,66.654,8.570,,,281.709
69,E12000001,2007-03-11,1.405,68.784,11.974,,,282.596
70,E12000001,2007-03-12,1.834,62.780,7.643,,,281.120
71,E12000001,2007-03-13,1.522,58.624,9.777,,,279.907
72,E12000001,2007-03-14,1.717,59.640,10.956,,,280.895
73,E12000001,2007-03-15,2.147,66.025,8.449,,,280.226
74,E12000001,2007-03-16,1.522,66.917,5.415,,,279.135
75,E12000001,2007-03-17,1.561,63.365,4.917,,,281.801
76,E12000001,2007-03-18,1.600,77.163,9.146,,,275.632
77,E12000001,2007-03-19,1.639,64.568,4.915,,,275.383
78,E12000001,2007-03-20,1.874,79.200,4.198,,,274.244
79,E12000001,2007-03-21,1.678,71.234,4.638,,,275.065
80,E12000001,2007-03-22,2.069,56.578,4.324,,,279.480
81,E12000001,2007-03-23,1.600,61.215,7.934,,,278.897
82,E12000001,2007-03-24,1.913,51.998,17.424,,,278.047
83,E12000001,2007-03-25,1.444,60.507,28.520,,,280.596
84,E12000001,2007-03-26,2.381,57.838,36.618,,,280.297
85,E12000001,2007-03-27,1.639,57.427,43.465,,,281.351
86,E12000001,2007-03-28,1.444,53.143,41.756,,,280.383
87,E12000001,2007-03-29,1.405,63.753,33.590,,,279.720
88,E12000001,2007-03-30,1.327,67.513,38.913,,,280.258
89,E12000001,2007-03-31,1.717,75.732,14.836,,,280.154
90,E12000001,2007-04-01,1.444,79.566,8.238,,,279.832
91,E12000001,2007-04-02,2.264,76.821,13.645,,,279.524
92,E12000001,2007-04-03,1.639,63.933,4.930,,,278.887
93,E12000001,2007-04-04,1.483,54.168,8.971,,,280.827
94,E12000001,2007-04-05,1.756,55.422,9.253,,,282.669
95,E12000001,2007-04-06,2.303,60.300,5.327,,,281.321
96,E12000001,2007-04-07,1.600,66.361,8.426,,,281.625
97,E12000001,2007-04-08,1.249,69.997,8.530,,,282.585
98,E12000001,2007-04-09,1.288,66.000,5.126,,,283.353
99,E12000001,2007-04-10,1.405,62.460,4.881,,,283.781
100,E12000001,2007-04-11,1.678,58.138,6.187,,,283.556
101,E12000001,2007-04-12,1.249,55.712,13.204,,,283.305
102,E12000001,2007-04-13,1.874,48.739,24.459,,,283.049
103,E12000001,2007-04-14,1.678,60.532,34.628,,,285.436
104,E12000001,2007-04-15,1.600,80.509,32.446,,,286.962
105,E12000001,2007-04-16,2.147,64.480,12.628,,,284.624
106,E12000001,2007-04-17,1.600,73.241,6.941,,,281.901
107,E12000001,2007-04-18,1.639,74.776,7.539,,,281.364
108,E12000001,2007-04-19,1.132,72.024,7.112,,,282.212
109,E12000001,2007-04-20,1.444,61.089,13.926,,,280.416
110,E12000001,2007-04-21,1.795,73.475,17.020,,,285.006
111,E12000001,2007-04-22,1.366,76.663,10.715,,,284.698
112,E12000001,2007-04-23,1.327,51.400,6.169,,,285.253
113,E12000001,2007-04-24,1.717,50.879,5.125,,,286.269
114,E12000001,2007-04-25,1.991,59.135,6.783,,,286.014
115,E12000001,2007-04-26,0.976,60.357,4.487,,,283.298
116,E12000001,2007-04-27,1.483,66.301,5.352,,,281.891
117,E12000001,2007-04-28,1.405,69.141,9.275,,,282.637
118,E12000001,2007-04-29,1.444,71.959,12.085,,,283.603
119,E12000001,2007-04-30,1.171,71.618,7.963,,,283.219
120,E12000001,2007-05-01,1.483,72.321,8.244,,,283.646
121,E12000001,2007-05-02,1.405,71.246,7.954,,,282.266
122,E12000001,2007-05-03,1.366,70.807,9.346,,,282.368
123,E12000001,2007-05-04,1.522,67.217,7.552,,,281.853
124,E12000001,2007-05-05,1.483,71.167,12.874,,,284.093
125,E12000001,2007-05-06,1.093,64.781,11.946,,,284.205
126,E12000001,2007-05-07,1.678,55.935,7.567,,,283.536
127,E12000001,2007-05-08,1.600,59.115,6.676,,,283.374
128,E12000001,2007-05-09,1.678,56.972,5.982,,,283.130
129,E12000001,2007-05-10,1.327,62.801,5.791,,,282.980
130,E12000001,2007-05-11,2.108,68.830,5.514,,,281.526
131,E12000001,2007-05-12,1.366,59.537,5.307,,,283.734
132,E12000001,2007-05-13,1.405,66.022,6.989,,,282.508
133,E12000001,2007-05-14,1.834,76.001,2.923,,,281.278
134,E12000001,2007-05-15,1.171,62.078,3.881,,,282.596
135,E12000001,2007-05-16,1.015,52.715,4.790,,,281.724
136,E12000001,2007-05-17,1.483,40.932,3.043,,,285.847
137,E12000001,2007-05-18,1.366,58.829,7.339,,,285.436
138,E12000001,2007-05-19,1.639,68.238,7.460,,,283.897
139,E12000001,2007-05-20,1.444,64.774,7.916,,,283.848
140,E12000001,2007-05-21,1.366,68.816,8.097,,,284.521
141,E12000001,2007-05-22,1.600,69.091,7.585,,,285.010
142,E12000001,2007-05-23,1.327,49.629,8.852,,,286.681
143,E12000001,2007-05-24,1.405,49.160,6.873,,,287.527
144,E12000001,2007-05-25,1.288,64.874,4.836,,,283.736
145,E12000001,2007-05-26,1.171,61.852,4.788,,,282.521
146,E12000001,2007-05-27,1.210,66.769,3.837,,,281.049
147,E12000001,2007-05-28,1.171,68.270,5.999,,,281.505
148,E12000001,2007-05-29,1.444,61.130,2.020,,,281.984
149,E12000001,2007-05-30,1.444,60.226,6.052,,,284.530
150,E12000001,2007-05-31,1.756,52.474,13.404,,,285.950
151,E12000001,2007-06-01,1.522,61.886,19.153,,,286.795
152,E12000001,2007-06-02,1.366,73.844,21.030,,,288.964
153,E12000001,2007-06-03,2.147,75.680,22.700,,,288.969
154,E12000001,2007-06-04,1.639,74.691,15.099,,,286.362
155,E12000001,2007-06-05,1.522,78.109,12.265,,,284.946
156,E12000001,2007-06-06,1.249,81.095,12.036,,,284.854
157,E12000001,2007-06-07,1.249,76.183,11.008,,,285.995
158,E12000001,2007-06-08,1.210,79.865,14.158,,,288.572
159,E12000001,2007-06-09,1.678,83.548,19.323,,,289.406
160,E12000001,2007-06-10,1.327,90.678,9.998,,,289.084
161,E12000001,2007-06-11,1.483,89.173,16.555,,,290.501
162,E12000001,2007-06-12,1.678,72.102,20.981,,,288.734
163,E12000001,2007-06-13,1.756,57.830,3.130,,,285.728
164,E12000001,2007-06-14,1.600,60.009,4.346,,,283.538
165,E12000001,2007-06-15,1.366,63.523,3.500,,,283.355
166,E12000001,2007-06-16,1.678,59.051,9.490,,,285.860
167,E12000001,2007-06-17,1.210,57.241,11.756,,,286.846
168,E12000001,2007-06-18,1.327,68.740,14.117,,,286.498
169,E12000001,2007-06-19,1.327,59.573,16.624,,,288.388
170,E12000001,2007-06-20,1.171,65.513,10.712,,,289.100
171,E12000001,2007-06-21,1.678,48.754,12.402,,,287.775
172,E12000001,2007-06-22,1.678,51.053,14.250,,,286.917
173,E12000001,2007-06-23,1.600,62.548,12.309,,,286.683
174,E12000001,2007-06-24,1.639,55.935,5.697,,,285.832
175,E12000001,2007-06-25,1.561,61.857,5.050,,,284.732
176,E12000001,2007-06-26,1.522,48.586,5.058,,,284.211
177,E12000001,2007-06-27,1.405,43.538,5.378,,,283.676
178,E12000001,2007-06-28,1.444,48.002,4.175,,,284.027
179,E12000001,2007-06-29,1.171,50.085,2.344,,,285.519
180,E12000001,2007-06-30,1.327,34.842,4.671,,,285.336
181,E12000001,2007-07-01,1.444,42.141,8.093,,,287.841
182,E12000001,2007-07-02,1.288,50.426,8.554,,,287.343
183,E12000001,2007-07-03,1.522,46.718,3.893,,,285.802
184,E12000001,2007-07-04,1.600,48.800,3.099,,,286.574
185,E12000001,2007-07-05,1.171,54.984,8.385,,,287.042
186,E12000001,2007-07-06,0.937,48.377,6.044,,,286.491
187,E12000001,2007-07-07,1.210,56.284,2.509,,,286.175
188,E12000001,2007-07-08,0.937,46.987,6.861,,,286.833
189,E12000001,2007-07-09,1.561,46.682,7.988,,,286.186
190,E12000001,2007-07-10,1.561,47.540,6.270,,,287.195
191,E12000001,2007-07-11,1.249,50.750,4.009,,,287.384
192,E12000001,2007-07-12,1.600,37.237,5.643,,,288.276
193,E12000001,2007-07-13,1.327,36.451,7.204,,,286.670
194,E12000001,2007-07-14,1.639,43.193,5.470,,,288.601
195,E12000001,2007-07-15,1.444,50.251,7.162,,,287.302
196,E12000001,2007-07-16,1.366,54.618,7.424,,,288.975
197,E12000001,2007-07-17,1.756,48.083,5.665,,,287.415
198,E12000001,2007-07-18,1.054,48.985,6.151,,,287.148
199,E12000001,2007-07-19,1.678,55.475,7.146,,,287.115
200,E12000001,2007-07-20,1.522,53.741,5.214,,,286.978
201,E12000001,2007-07-21,1.249,52.503,3.348,,,283.384
202,E12000001,2007-07-22,1.132,52.575,6.515,,,286.232
203,E12000001,2007-07-23,1.522,54.770,11.835,,,286.543
204,E12000001,2007-07-24,1.366,59.895,9.010,,,287.254
205,E12000001,2007-07-25,1.210,46.326,6.278,,,287.385
206,E12000001,2007-07-26,1.561,41.344,8.360,,,287.004
207,E12000001,2007-07-27,1.522,47.324,4.302,,,287.608
208,E12000001,2007-07-28,1.327,49.687,2.027,,,286.876
209,E12000001,2007-07-29,1.366,44.999,3.607,,,285.289
210,E12000001,2007-07-30,1.093,46.921,2.946,,,285.756
211,E12000001,2007-07-31,1.678,51.153,5.494,,,287.783
212,E12000001,2007-08-01,1.366,49.573,6.991,,,288.345
213,E12000001,2007-08-02,1.522,40.211,8.086,,,287.308
214,E12000001,2007-08-03,1.366,38.813,7.935,,,289.120
215,E12000001,2007-08-04,1.483,38.964,3.427,,,290.722
216,E12000001,2007-08-05,1.600,56.615,14.274,,,291.328
217,E12000001,2007-08-06,1.327,53.833,7.605,,,287.858
218,E12000001,2007-08-07,1.405,52.391,3.357,,,285.889
219,E12000001,2007-08-08,1.327,46.593,6.268,,,286.671
220,E12000001,2007-08-09,1.288,47.464,7.899,,,287.349
221,E12000001,2007-08-10,1.171,42.241,9.166,,,287.896
222,E12000001,2007-08-11,1.288,45.377,11.436,,,288.805
223,E12000001,2007-08-12,1.444,51.060,5.454,,,286.895
224,E12000001,2007-08-13,1.678,45.486,4.860,,,286.268
225,E12000001,2007-08-14,1.171,31.496,7.598,,,286.625
226,E12000001,2007-08-15,1.366,51.841,4.692,,,287.143
227,E12000001,2007-08-16,1.561,48.365,7.878,,,285.155
228,E12000001,2007-08-17,1.132,53.303,10.410,,,285.658
229,E12000001,2007-08-18,1.171,35.484,7.219,,,286.448
230,E12000001,2007-08-19,1.249,44.833,4.522,,,286.057
231,E12000001,2007-08-20,1.913,52.577,4.398,,,285.663
232,E12000001,2007-08-21,1.561,59.004,8.633,,,287.257
233,E12000001,2007-08-22,1.444,62.796,6.502,,,287.613
234,E12000001,2007-08-23,1.522,50.388,9.709,,,287.107
235,E12000001,2007-08-24,1.678,39.430,9.690,,,288.805
236,E12000001,2007-08-25,1.210,35.084,6.313,,,289.150
237,E12000001,2007-08-26,1.015,48.172,6.008,,,287.019
238,E12000001,2007-08-27,1.405,40.353,10.546,,,286.385
239,E12000001,2007-08-28,1.171,37.618,11.930,,,285.540
240,E12000001,2007-08-29,1.093,43.537,6.393,,,285.606
241,E12000001,2007-08-30,1.522,40.075,5.360,,,287.998
242,E12000001,2007-08-31,1.405,46.694,7.665,,,288.044
243,E12000001,2007-09-01,1.444,43.440,6.392,,,287.820
244,E12000001,2007-09-02,1.249,43.224,6.438,,,287.400
245,E12000001,2007-09-03,1.054,45.509,5.831,,,284.733
246,E12000001,2007-09-04,1.288,44.273,4.920,,,284.749
247,E12000001,2007-09-05,1.717,37.065,6.583,,,289.327
248,E12000001,2007-09-06,1.288,33.718,7.878,,,289.200
249,E12000001,2007-09-07,1.327,37.959,8.302,,,288.244
250,E12000001,2007-09-08,1.600,41.284,7.384,,,287.993
251,E12000001,2007-09-09,1.366,39.470,8.252,,,287.225
252,E12000001,2007-09-10,1.366,46.899,7.662,,,286.489
253,E12000001,2007-09-11,1.678,38.501,14.550,,,286.043
254,E12000001,2007-09-12,1.171,45.801,13.867,,,287.891
255,E12000001,2007-09-13,1.210,46.767,15.947,,,287.525
256,E12000001,2007-09-14,1.444,51.417,9.863,,,285.819
257,E12000001,2007-09-15,1.327,43.532,9.812,,,285.047
258,E12000001,2007-09-16,1.405,49.566,5.452,,,287.312
259,E12000001,2007-09-17,1.522,47.323,3.524,,,282.259
260,E12000001,2007-09-18,1.795,46.711,3.976,,,280.945
261,E12000001,2007-09-19,1.717,45.808,5.157,,,286.072
262,E12000001,2007-09-20,1.522,47.570,8.634,,,285.590
263,E12000001,2007-09-21,1.561,45.000,5.614,,,284.552
264,E12000001,2007-09-22,1.522,46.351,9.469,,,285.832
265,E12000001,2007-09-23,1.991,48.506,6.239,,,287.880
266,E12000001,2007-09-24,1.639,48.371,4.332,,,284.771
267,E12000001,2007-09-25,1.327,43.922,3.038,,,283.266
268,E12000001,2007-09-26,0.937,53.076,4.635,,,280.388
269,E12000001,2007-09-27,0.898,53.112,3.883,,,281.763
270,E12000001,2007-09-28,1.717,48.012,3.812,,,283.397
271,E12000001,2007-09-29,1.093,47.973,3.602,,,283.443
272,E12000001,2007-09-30,0.976,39.434,6.042,,,282.589
273,E12000001,2007-10-01,1.444,35.600,13.446,,,283.334
274,E12000001,2007-10-02,1.600,40.558,11.383,,,283.605
275,E12000001,2007-10-03,1.327,39.504,17.856,,,284.776
276,E12000001,2007-10-04,1.327,47.145,4.968,,,284.534
277,E12000001,2007-10-05,1.678,32.839,10.453,,,283.251
278,E12000001,2007-10-06,1.288,33.084,21.752,,,284.273
279,E12000001,2007-10-07,1.288,41.714,11.721,,,284.597
280,E12000001,2007-10-08,1.522,42.329,9.907,,,282.901
281,E12000001,2007-10-09,1.405,26.487,10.901,,,284.525
282,E12000001,2007-10-10,1.249,39.844,10.890,,,284.410
283,E12000001,2007-10-11,1.405,34.692,9.707,,,286.483
284,E12000001,2007-10-12,1.639,30.339,9.763,,,287.617
285,E12000001,2007-10-13,1.132,27.973,14.821,,,287.636
286,E12000001,2007-10-14,1.327,43.467,20.115,,,286.077
287,E12000001,2007-10-15,1.288,45.788,15.795,,,285.087
288,E12000001,2007-10-16,1.561,51.037,6.434,,,283.966
289,E12000001,2007-10-17,1.444,54.765,4.694,,,281.295
290,E12000001,2007-10-18,1.639,38.809,8.613,,,280.023
291,E12000001,2007-10-19,1.405,42.846,12.648,,,280.850
292,E12000001,2007-10-20,1.834,27.933,17.909,,,280.793
293,E12000001,2007-10-21,1.522,29.534,21.003,,,280.050
294,E12000001,2007-10-22,1.483,22.635,23.938,,,280.820
295,E12000001,2007-10-23,1.483,16.425,24.835,,,280.016
296,E12000001,2007-10-24,1.366,35.149,15.396,,,280.310
297,E12000001,2007-10-25,2.108,41.465,16.706,,,281.674
298,E12000001,2007-10-26,1.756,27.276,27.954,,,282.266
299,E12000001,2007-10-27,0.898,40.980,5.923,,,285.649
300,E12000001,2007-10-28,1.756,54.278,2.967,,,284.476
301,E12000001,2007-10-29,1.171,53.439,5.822,,,280.327
302,E12000001,2007-10-30,1.366,48.808,6.367,,,281.436
303,E12000001,2007-10-31,1.483,44.169,6.390,,,285.043
304,E12000001,2007-11-01,1.483,43.764,4.825,,,286.122
305,E12000001,2007-11-02,1.639,42.974,6.653,,,285.412
306,E12000001,2007-11-03,1.210,47.976,6.536,,,283.096
307,E12000001,2007-11-04,1.288,38.647,9.963,,,280.498
308,E12000001,2007-11-05,1.952,51.745,9.068,,,281.498
309,E12000001,2007-11-06,1.561,62.960,6.279,,,280.834
310,E12000001,2007-11-07,1.210,60.713,4.855,,,283.677
311,E12000001,2007-11-08,1.288,63.718,5.669,,,280.605
312,E12000001,2007-11-09,1.874,69.759,4.827,,,278.156
313,E12000001,2007-11-10,1.288,56.509,3.278,,,282.455
314,E12000001,2007-11-11,1.678,60.830,2.579,,,279.063
315,E12000001,2007-11-12,1.639,44.031,5.946,,,275.483
316,E12000001,2007-11-13,1.483,48.790,3.003,,,279.274
317,E12000001,2007-11-14,1.834,32.271,5.481,,,278.712
318,E12000001,2007-11-15,1.249,23.274,12.442,,,276.466
319,E12000001,2007-11-16,1.210,22.193,11.477,,,279.459
320,E12000001,2007-11-17,1.678,41.526,7.170,,,280.293
321,E12000001,2007-11-18,1.639,37.616,4.542,,,277.375
322,E12000001,2007-11-19,1.874,31.409,9.675,,,278.679
323,E12000001,2007-11-20,1.405,31.930,14.814,,,279.756
324,E12000001,2007-11-21,1.795,16.623,9.254,,,281.035
325,E12000001,2007-11-22,1.561,41.055,3.584,,,278.518
326,E12000001,2007-11-23,1.874,46.762,5.640,,,274.533
327,E12000001,2007-11-24,1.522,55.386,4.788,,,278.645
328,E12000001,2007-11-25,1.913,50.717,6.000,,,277.771
329,E12000001,2007-11-26,1.991,37.406,7.297,,,276.753
330,E12000001,2007-11-27,1.600,39.575,3.976,,,279.857
331,E12000001,2007-11-28,1.717,47.294,3.824,,,281.864
332,E12000001,2007-11-29,1.405,53.786,4.836,,,278.728
333,E12000001,2007-11-30,1.913,51.247,3.846,,,283.155
334,E12000001,2007-12-01,1.483,57.261,7.013,,,278.583
335,E12000001,2007-12-02,1.756,47.374,6.454,,,279.282
336,E12000001,2007-12-03,1.756,50.387,2.826,,,277.332
337,E12000001,2007-12-04,1.834,47.629,2.563,,,281.144
338,E12000001,2007-12-05,1.952,56.239,5.854,,,282.823
339,E12000001,2007-12-06,2.069,52.627,4.863,,,282.290
340,E12000001,2007-12-07,2.069,57.052,4.091,,,278.542
341,E12000001,2007-12-08,1.874,49.944,5.335,,,277.134
342,E12000001,2007-12-09,1.717,47.025,5.749,,,277.616
343,E12000001,2007-12-10,1.952,45.927,2.857,,,276.081
344,E12000001,2007-12-11,1.561,30.868,7.804,,,275.128
345,E12000001,2007-12-12,1.522,18.295,20.911,,,276.196
346,E12000001,2007-12-13,1.522,15.669,25.707,,,275.384
347,E12000001,2007-12-14,1.600,13.137,24.067,,,273.676
348,E12000001,2007-12-15,1.249,14.975,20.682,,,273.900
349,E12000001,2007-12-16,1.913,15.677,19.906,,,272.985
350,E12000001,2007-12-17,1.561,23.937,21.209,,,273.894
351,E12000001,2007-12-18,1.483,27.551,22.314,,,275.799
352,E12000001,2007-12-19,1.717,23.664,22.988,,,275.926
353,E12000001,2007-12-20,1.678,8.868,25.123,,,274.164
354,E12000001,2007-12-21,1.678,7.470,25.030,,,273.277
355,E12000001,2007-12-22,2.030,24.848,18.099,,,274.274
356,E12000001,2007-12-23,1.874,39.043,7.739,,,274.382
357,E12000001,2007-12-24,2.108,37.454,6.496,,,278.874
358,E12000001,2007-12-25,1.874,40.761,6.815,,,276.035
359,E12000001,2007-12-26,2.225,45.121,6.834,,,278.844
360,E12000001,2007-12-27,2.381,52.915,4.482,,,282.077
361,E12000001,2007-12-28,1.639,52.543,3.795,,,282.527
362,E12000001,2007-12-29,2.225,44.580,6.488,,,277.204
363,E12000001,2007-12-30,1.327,26.661,7.652,,,276.573
364,E12000001,2007-12-31,1.913,28.500,7.478,,,279.282
365,E12000002,2007-01-02,1.963,46.363,11.496,,,279.001
366,E12000002,2007-01-03,1.891,49.840,7.021,,,282.204
367,E12000002,2007-01-04,1.674,52.237,10.072,,,280.649
368,E12000002,2007-01-05,1.818,46.662,8.103,,,280.997
369,E12000002,2007-01-06,1.703,44.603,8.184,,,279.384
370,E12000002,2007-01-07,1.746,57.264,6.899,,,282.008
371,E12000002,2007-01-08,1.876,51.003,6.279,,,280.526
372,E12000002,2007-01-09,1.919,57.570,7.652,,,282.608
373,E12000002,2007-01-10,1.977,50.540,4.952,,,278.909
374,E12000002,2007-01-11,1.790,55.893,10.670,,,281.231
375,E12000002,2007-01-12,1.919,56.057,9.560,,,282.662
376,E12000002,2007-01-13,1.919,56.605,5.456,,,281.663
377,E12000002,2007-01-14,1.645,52.817,7.393,,,279.246
378,E12000002,2007-01-15,2.194,55.008,8.209,,,281.018
379,E12000002,2007-01-16,1.948,32.544,7.529,,,279.032
380,E12000002,2007-01-17,1.746,51.729,7.509,,,278.745
381,E12000002,2007-01-18,1.862,50.634,6.801,,,280.568
382,E12000002,2007-01-19,1.934,51.589,10.083,,,281.499
383,E12000002,2007-01-20,1.703,49.782,9.620,,,279.519
384,E12000002,2007-01-21,1.804,46.680,6.088,,,276.392
385,E12000002,2007-01-22,1.818,37.613,6.028,,,275.327
386,E12000002,2007-01-23,1.818,33.799,6.734,,,273.016
387,E12000002,2007-01-24,1.790,41.552,4.980,,,275.586
388,E12000002,2007-01-25,1.804,32.756,9.054,,,274.004
389,E12000002,2007-01-26,1.804,45.790,6.599,,,278.092
390,E12000002,2007-01-27,1.948,47.476,6.650,,,279.011
391,E12000002,2007-01-28,1.544,54.283,7.018,,,280.321
392,E12000002,2007-01-29,1.992,47.763,8.755,,,279.956
393,E12000002,2007-01-30,2.006,47.583,8.775,,,277.874
394,E12000002,2007-01-31,1.458,46.238,8.363,,,281.247
395,E12000002,2007-02-01,1.977,32.382,11.155,,,281.399
396,E12000002,2007-02-02,1.530,40.038,10.646,,,279.364
397,E12000002,2007-02-03,1.414,24.241,14.725,,,274.762
398,E12000002,2007-02-04,1.688,20.124,23.515,,,274.298
399,E12000002,2007-02-05,1.876,26.614,14.627,,,274.252
400,E12000002,2007-02-06,1.775,24.854,14.835,,,272.413
401,E12000002,2007-02-07,2.121,21.986,14.720,,,272.149
402,E12000002,2007-02-08,1.934,22.141,13.356,,,273.293
403,E12000002,2007-02-09,2.179,25.960,15.081,,,273.097
404,E12000002,2007-02-10,2.107,23.399,7.623,,,276.089
405,E12000002,2007-02-11,2.121,45.049,9.090,,,278.556
406,E12000002,2007-02-12,2.107,47.372,6.693,,,278.751
407,E12000002,2007-02-13,2.049,49.128,9.708,,,278.801
408,E12000002,2007-02-14,2.309,47.446,10.287,,,278.117
409,E12000002,2007-02-15,1.977,47.018,13.282,,,280.877
410,E12000002,2007-02-16,1.818,29.255,10.260,,,279.873
411,E12000002,2007-02-17,1.919,24.250,12.776,,,278.728
412,E12000002,2007-02-18,1.530,28.817,13.794,,,277.082
413,E12000002,2007-02-19,1.891,23.475,20.454,,,279.726
414,E12000002,2007-02-20,2.251,39.174,12.724,,,280.985
415,E12000002,2007-02-21,2.006,39.349,12.505,,,279.479
416,E12000002,2007-02-22,1.761,46.462,8.900,,,280.961
417,E12000002,2007-02-23,1.862,46.181,14.871,,,280.893
418,E12000002,2007-02-24,1.833,41.031,10.516,,,280.418
419,E12000002,2007-02-25,1.847,44.948,9.656,,,279.609
420,E12000002,2007-02-26,1.977,58.339,6.111,,,277.800
421,E12000002,2007-02-27,2.049,46.584,7.330,,,280.524
422,E12000002,2007-02-28,2.020,64.188,9.034,,,279.948
423,E12000002,2007-03-01,1.631,66.285,6.051,,,278.169
424,E12000002,2007-03-02,1.891,45.080,9.840,,,278.087
425,E12000002,2007-03-03,1.790,51.804,8.846,,,279.165
426,E12000002,2007-03-04,1.746,46.807,7.893,,,278.986
427,E12000002,2007-03-05,1.804,74.566,7.637,,,279.930
428,E12000002,2007-03-06,2.049,73.216,6.504,,,280.811
429,E12000002,2007-03-07,1.573,60.830,11.340,,,279.279
430,E12000002,2007-03-08,1.876,60.081,9.438,,,279.316
431,E12000002,2007-03-09,1.660,66.789,13.252,,,279.085
432,E12000002,2007-03-10,1.818,64.975,10.721,,,281.874
433,E12000002,2007-03-11,1.559,66.895,14.928,,,282.754
434,E12000002,2007-03-12,1.602,60.501,9.650,,,281.443
435,E12000002,2007-03-13,1.645,55.499,11.659,,,279.867
